molecular_id,assay_material_id,genomics_types,omics_sample_name,omics_contact_id,omics_date,seq_flowcell_id,seq_readlength,seq_paired,seq_libtype
M00000001,R0001,rnaseq,NC-23B,jradich,2/19/15,150219_SN367_0497_AHGLYGADXX,50,yes,truseq
M00000002,R0003,rnaseq,NC-20B,jradich,2/19/15,150219_SN367_0497_AHGLYGADXX,50,yes,truseq
M00000003,R0004,rnaseq,NC-25B-bulk,jradich,1/22/15,150122_SN367_0490_AHFH3JADXX,50,yes,truseq
M00000004,R0005,rnaseq,NC-26B-Bulk,jradich,1/22/15,150122_SN367_0490_AHFH3JADXX,50,yes,truseq
M00000005,R0006,rnaseq,NC-28B-bulk,jradich,1/28/15,150128_SN367_0492_AHFJ3CADXX,50,yes,truseq
M00000006,R0007,rnaseq,NC-29B-bulk,jradich,1/28/15,150128_SN367_0492_AHFJ3CADXX,50,yes,truseq
M00000007,R0008,rnaseq,NC-27B-bulk,jradich,1/22/15,150122_SN367_0490_AHFH3JADXX,50,yes,truseq
M00000008,R0009,rnaseq,NC-30B-bulk,jradich,10/28/15,150128_SN367_0492_AHFJ3CADXX,50,yes,truseq
M00000019,R0020,rnaseq,NB-01,jradich,3/24/14,140324_SN367_0381_BH929TADXX,99,yes,truseq
M00000020,R0021,rnaseq,NB-02,jradich,3/24/14,140324_SN367_0381_BH929TADXX,99,yes,truseq
M00000021,R0022,rnaseq,NB-03,jradich,3/24/14,140324_SN367_0381_BH929TADXX,99,yes,truseq
M00000022,R0023,rnaseq,NB-04,jradich,3/24/14,140324_SN367_0381_BH929TADXX,99,yes,truseq
M00000297,R0296,rnaseq,MF-D-02,jradich,3/24/14,140324_SN367_0380_AH91T2ADXX,99,yes,truseq
M00000298,R0297,rnaseq,JAK2-6-1-D,jradich,2/27/14,140227_SN367_0370_AH8JPDADXX,99,yes,truseq
M00000299,R0298,rnaseq,MF-D-07,jradich,3/24/14,140324_SN367_0381_BH929TADXX,99,yes,truseq
M00000300,R0299,rnaseq,JAK2-10-1-D,jradich,2/27/14,140227_SN367_0370_AH8JPDADXX,99,yes,truseq
M00000301,R0300,rnaseq,MF-D-29,jradich,3/24/14,140324_SN367_0381_BH929TADXX,99,yes,truseq
M00000302,R0301,rnaseq,JAK2-30-D,jradich,2/27/14,140227_SN367_0370_AH8JPDADXX,99,yes,truseq
M00000303,R0302,rnaseq,MF-D-31,jradich,3/24/14,140324_SN367_0381_BH929TADXX,99,yes,truseq
M00000304,R0303,rnaseq,JAK2-36-D,jradich,2/27/14,140227_SN367_0370_AH8JPDADXX,99,yes,truseq
M00000305,R0304,rnaseq,JAK2-37-D,jradich,2/27/14,140227_SN367_0370_AH8JPDADXX,99,yes,truseq
M00000306,R0305,rnaseq,MF-D-39,jradich,3/24/14,140324_SN367_0381_BH929TADXX,99,yes,truseq
M00000307,R0306,rnaseq,MF-D-40,jradich,3/24/14,140324_SN367_0381_BH929TADXX,99,yes,truseq
M00000308,R0307,rnaseq,MF-D-43,jradich,3/24/14,140324_SN367_0381_BH929TADXX,99,yes,truseq